Position_x,Name + ID,Name,Id,Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Name_y,Position_y,Team,ProjPts,ProjOwn,merge_time
WR,Calvin Ridley (36784495),Calvin Ridley,36784495,WR/FLEX,5700,TEN@WAS 12/01/2024 01:00PM ET,TEN,12.14,Calvin Ridley,WR,Titans,13.25,20.2,2024-11-29 19:13:43
QB,Justin Herbert (36784188),Justin Herbert,36784188,QB,5600,LAC@ATL 12/01/2024 01:00PM ET,LAC,16.48,Justin Herbert,QB,Chargers,19.07,16.8,2024-11-29 19:13:43
WR,Darnell Mooney (36784497),Darnell Mooney,36784497,WR/FLEX,5600,LAC@ATL 12/01/2024 01:00PM ET,ATL,13.83,Darnell Mooney,WR,Falcons,13.4,9.1,2024-11-29 19:13:43
QB,Drake Maye (36784189),Drake Maye,36784189,QB,5600,IND@NE 12/01/2024 01:00PM ET,NE,15.49,Drake Maye,QB,Patriots,18.87,4.0,2024-11-29 19:13:43
RB,Austin Ekeler (36784283),Austin Ekeler,36784283,RB/FLEX,5600,TEN@WAS 12/01/2024 01:00PM ET,WAS,11.56,Austin Ekeler,RB,Commanders,5.73,0.0,2024-11-29 19:13:43
RB,Jaylen Warren (36784285),Jaylen Warren,36784285,RB/FLEX,5500,PIT@CIN 12/01/2024 01:00PM ET,PIT,7.83,Jaylen Warren,RB,Steelers,10.83,0.9,2024-11-29 19:13:43
WR,Brian Thomas Jr. (36784499),Brian Thomas Jr.,36784499,WR/FLEX,5500,HOU@JAX 12/01/2024 01:00PM ET,JAX,13.62,Brian Thomas Jr.,WR,Jaguars,11.56,20.4,2024-11-29 19:13:43
QB,Anthony Richardson (36784191),Anthony Richardson,36784191,QB,5500,IND@NE 12/01/2024 01:00PM ET,IND,14.7,Anthony Richardson,QB,Colts,20.48,16.4,2024-11-29 19:13:43
QB,Geno Smith (36784190),Geno Smith,36784190,QB,5500,SEA@NYJ 12/01/2024 01:00PM ET,SEA,18.53,Geno Smith,QB,Seahawks,17.96,6.0,2024-11-29 19:13:43
QB,Trevor Lawrence (36784192),Trevor Lawrence,36784192,QB,5400,HOU@JAX 12/01/2024 01:00PM ET,JAX,17.55,Trevor Lawrence,QB,Jaguars,13.42,0.0,2024-11-29 19:13:43
WR,Josh Downs (36784501),Josh Downs,36784501,WR/FLEX,5400,IND@NE 12/01/2024 01:00PM ET,IND,14.06,Josh Downs,WR,Colts,0.0,0.0,2024-11-29 19:13:43
RB,Jeremy McNichols (36784287),Jeremy McNichols,36784287,RB/FLEX,5400,TEN@WAS 12/01/2024 01:00PM ET,WAS,4.03,Jeremy McNichols,RB,Commanders,4.02,1.4,2024-11-29 19:13:43
WR,Jordan Addison (36784503),Jordan Addison,36784503,WR/FLEX,5300,ARI@MIN 12/01/2024 01:00PM ET,MIN,13.23,Jordan Addison,WR,Vikings,12.97,4.6,2024-11-29 19:13:43
QB,Aaron Rodgers (36784193),Aaron Rodgers,36784193,QB,5300,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,14.97,Aaron Rodgers,QB,Jets,13.59,0.8,2024-11-29 19:13:43
RB,Rachaad White (36784289),Rachaad White,36784289,RB/FLEX,5300,TB@CAR 12/01/2024 04:05PM ET,TB,13.74,Rachaad White,RB,Buccaneers,13.26,5.1,2024-11-29 19:13:43
QB,Justin Fields (36784194),Justin Fields,36784194,QB,5200,PIT@CIN 12/01/2024 01:00PM ET,PIT,15.33,Justin Fields,QB,Steelers,0.0,0.0,2024-11-29 19:13:43
RB,Tank Bigsby (36784291),Tank Bigsby,36784291,RB/FLEX,5200,HOU@JAX 12/01/2024 01:00PM ET,JAX,8.85,Tank Bigsby,RB,Jaguars,7.61,0.4,2024-11-29 19:13:43
WR,Michael Pittman Jr. (36784505),Michael Pittman Jr.,36784505,WR/FLEX,5200,IND@NE 12/01/2024 01:00PM ET,IND,9.71,Michael Pittman Jr.,WR,Colts,12.81,13.3,2024-11-29 19:13:43
WR,Xavier Legette (36784507),Xavier Legette,36784507,WR/FLEX,5100,TB@CAR 12/01/2024 04:05PM ET,CAR,8.47,Xavier Legette,WR,Panthers,9.58,5.7,2024-11-29 19:13:43
QB,Derek Carr (36784195),Derek Carr,36784195,QB,5100,LAR@NO 12/01/2024 04:05PM ET,NO,16.05,Derek Carr,QB,Saints,17.72,2.4,2024-11-29 19:13:43
RB,Kenneth Gainwell (36784293),Kenneth Gainwell,36784293,RB/FLEX,5100,PHI@BAL 12/01/2024 04:25PM ET,PHI,3.62,Kenneth Gainwell,RB,Eagles,3.36,0.0,2024-11-29 19:13:43
RB,Tyler Allgeier (36784297),Tyler Allgeier,36784297,RB/FLEX,5000,LAC@ATL 12/01/2024 01:00PM ET,ATL,6.77,Tyler Allgeier,RB,Falcons,6.91,0.5,2024-11-29 19:13:43
WR,Quentin Johnston (36784509),Quentin Johnston,36784509,WR/FLEX,5000,LAC@ATL 12/01/2024 01:00PM ET,LAC,10.78,Quentin Johnston,WR,Chargers,10.27,2.1,2024-11-29 19:13:43
RB,Braelon Allen (36784295),Braelon Allen,36784295,RB/FLEX,5000,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,5.36,Braelon Allen,RB,Jets,4.62,0.4,2024-11-29 19:13:43
QB,Will Levis (36784196),Will Levis,36784196,QB,5000,TEN@WAS 12/01/2024 01:00PM ET,TEN,12.8,Will Levis,QB,Titans,14.83,6.8,2024-11-29 19:13:43
QB,Mason Rudolph (36784197),Mason Rudolph,36784197,QB,5000,TEN@WAS 12/01/2024 01:00PM ET,TEN,13.84,Mason Rudolph,QB,Titans,0.0,0.0,2024-11-29 19:13:43
TE,Taysom Hill (36784837),Taysom Hill,36784837,TE/FLEX,5000,LAR@NO 12/01/2024 04:05PM ET,NO,13.95,Taysom Hill,TE,Saints,10.89,16.7,2024-11-29 19:13:43
QB,Mac Jones (36784198),Mac Jones,36784198,QB,4900,HOU@JAX 12/01/2024 01:00PM ET,JAX,3.4,Mac Jones,QB,Jaguars,0.82,0.5,2024-11-29 19:13:43
RB,Antonio Gibson (36784299),Antonio Gibson,36784299,RB/FLEX,4900,IND@NE 12/01/2024 01:00PM ET,NE,5.06,Antonio Gibson,RB,Patriots,5.69,0.3,2024-11-29 19:13:43
WR,Alec Pierce (36784511),Alec Pierce,36784511,WR/FLEX,4900,IND@NE 12/01/2024 01:00PM ET,IND,9.99,Alec Pierce,WR,Colts,11.24,3.9,2024-11-29 19:13:43
TE,Evan Engram (36784839),Evan Engram,36784839,TE/FLEX,4800,HOU@JAX 12/01/2024 01:00PM ET,JAX,10.73,Evan Engram,TE,Jaguars,9.62,17.4,2024-11-29 19:13:43
QB,Tyrod Taylor (36784199),Tyrod Taylor,36784199,QB,4800,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,6.14,Tyrod Taylor,QB,Jets,0.0,0.0,2024-11-29 19:13:43
WR,Adam Thielen (36784513),Adam Thielen,36784513,WR/FLEX,4800,TB@CAR 12/01/2024 04:05PM ET,CAR,8.4,Adam Thielen,WR,Panthers,10.6,1.6,2024-11-29 19:13:43
RB,Justice Hill (36784301),Justice Hill,36784301,RB/FLEX,4800,PHI@BAL 12/01/2024 04:25PM ET,BAL,8.35,Justice Hill,RB,Ravens,6.55,0.8,2024-11-29 19:13:43
RB,Keaton Mitchell (36784303),Keaton Mitchell,36784303,RB/FLEX,4800,PHI@BAL 12/01/2024 04:25PM ET,BAL,0.0,Keaton Mitchell,RB,Ravens,0.0,0.0,2024-11-29 19:13:43
WR,DeMario Douglas (36784515),DeMario Douglas,36784515,WR/FLEX,4700,IND@NE 12/01/2024 01:00PM ET,NE,8.64,DeMario Douglas,WR,Patriots,10.38,5.6,2024-11-29 19:13:43
QB,Bryce Young (36784200),Bryce Young,36784200,QB,4700,TB@CAR 12/01/2024 04:05PM ET,CAR,9.05,Bryce Young,QB,Panthers,15.4,3.3,2024-11-29 19:13:43
QB,Andy Dalton (36784201),Andy Dalton,36784201,QB,4700,TB@CAR 12/01/2024 04:05PM ET,CAR,11.33,Andy Dalton,QB,Panthers,0.0,0.0,2024-11-29 19:13:43
RB,Jonathon Brooks (36784305),Jonathon Brooks,36784305,RB/FLEX,4700,TB@CAR 12/01/2024 04:05PM ET,CAR,0.7,Jonathon Brooks,RB,Panthers,5.34,0.1,2024-11-29 19:13:43
TE,Kyle Pitts (36784841),Kyle Pitts,36784841,TE/FLEX,4600,LAC@ATL 12/01/2024 01:00PM ET,ATL,9.31,Kyle Pitts,TE,Falcons,9.63,2.3,2024-11-29 19:13:43
QB,Davis Mills (36784203),Davis Mills,36784203,QB,4600,HOU@JAX 12/01/2024 01:00PM ET,HOU,1.05,Davis Mills,QB,Texans,0.0,0.0,2024-11-29 19:13:43
RB,Dameon Pierce (36784307),Dameon Pierce,36784307,RB/FLEX,4600,HOU@JAX 12/01/2024 01:00PM ET,HOU,2.85,Dameon Pierce,RB,Texans,1.79,0.0,2024-11-29 19:13:43
QB,Jacoby Brissett (36784202),Jacoby Brissett,36784202,QB,4600,IND@NE 12/01/2024 01:00PM ET,NE,7.89,Jacoby Brissett,QB,Patriots,0.0,0.0,2024-11-29 19:13:43
WR,Allen Lazard (36784517),Allen Lazard,36784517,WR/FLEX,4600,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,14.89,Allen Lazard,WR,Jets,0.0,0.0,2024-11-29 19:13:43
RB,Cam Akers (36784311),Cam Akers,36784311,RB/FLEX,4500,ARI@MIN 12/01/2024 01:00PM ET,MIN,5.4,Cam Akers,RB,Vikings,5.52,0.3,2024-11-29 19:13:43
QB,Joe Flacco (36784204),Joe Flacco,36784204,QB,4500,IND@NE 12/01/2024 01:00PM ET,IND,13.36,Joe Flacco,QB,Colts,0.0,0.0,2024-11-29 19:13:43
WR,Tyler Lockett (36784521),Tyler Lockett,36784521,WR/FLEX,4500,SEA@NYJ 12/01/2024 01:00PM ET,SEA,9.04,Tyler Lockett,WR,Seahawks,7.69,1.0,2024-11-29 19:13:43
RB,Sean Tucker (36784309),Sean Tucker,36784309,RB/FLEX,4500,TB@CAR 12/01/2024 04:05PM ET,TB,5.3,Sean Tucker,RB,Buccaneers,3.25,0.1,2024-11-29 19:13:43
TE,Cade Otton (36784843),Cade Otton,36784843,TE/FLEX,4500,TB@CAR 12/01/2024 04:05PM ET,TB,11.29,Cade Otton,TE,Buccaneers,11.87,9.7,2024-11-29 19:13:43
WR,Marquez Valdes-Scantling (36784519),Marquez Valdes-Scantling,36784519,WR/FLEX,4500,LAR@NO 12/01/2024 04:05PM ET,NO,5.74,Marquez Valdes-Scantling,WR,Saints,12.05,3.3,2024-11-29 19:13:43
QB,Josh Johnson (36784205),Josh Johnson,36784205,QB,4500,PHI@BAL 12/01/2024 04:25PM ET,BAL,0.08,Josh Johnson,QB,Ravens,0.0,0.0,2024-11-29 19:13:43
TE,T.J. Hockenson (36784845),T.J. Hockenson,36784845,TE/FLEX,4400,ARI@MIN 12/01/2024 01:00PM ET,MIN,11.4,T.J. Hockenson,TE,Vikings,11.62,15.3,2024-11-29 19:13:43
RB,Zach Charbonnet (36784315),Zach Charbonnet,36784315,RB/FLEX,4400,SEA@NYJ 12/01/2024 01:00PM ET,SEA,9.08,Zach Charbonnet,RB,Seahawks,6.18,0.4,2024-11-29 19:13:43
RB,Tyjae Spears (36784313),Tyjae Spears,36784313,RB/FLEX,4400,TEN@WAS 12/01/2024 01:00PM ET,TEN,6.84,Tyjae Spears,RB,Titans,8.73,0.4,2024-11-29 19:13:43
WR,Noah Brown (36784523),Noah Brown,36784523,WR/FLEX,4400,TEN@WAS 12/01/2024 01:00PM ET,WAS,8.06,Noah Brown,WR,Commanders,8.02,5.4,2024-11-29 19:13:43
WR,Rashod Bateman (36784525),Rashod Bateman,36784525,WR/FLEX,4400,PHI@BAL 12/01/2024 04:25PM ET,BAL,10.45,Rashod Bateman,WR,Ravens,8.95,2.7,2024-11-29 19:13:43
RB,Gus Edwards (36784319),Gus Edwards,36784319,RB/FLEX,4300,LAC@ATL 12/01/2024 01:00PM ET,LAC,3.97,Gus Edwards,RB,Chargers,6.51,10.7,2024-11-29 19:13:43
WR,Ray-Ray McCloud III (36784529),Ray-Ray McCloud III,36784529,WR/FLEX,4300,LAC@ATL 12/01/2024 01:00PM ET,ATL,8.16,Ray-Ray McCloud,WR,Falcons,6.93,2.8,2024-11-29 19:13:43
WR,Joshua Palmer (36784531),Joshua Palmer,36784531,WR/FLEX,4300,LAC@ATL 12/01/2024 01:00PM ET,LAC,6.93,Joshua Palmer,WR,Chargers,8.45,2.9,2024-11-29 19:13:43
RB,Trey Benson (36784317),Trey Benson,36784317,RB/FLEX,4300,ARI@MIN 12/01/2024 01:00PM ET,ARI,3.99,Trey Benson,RB,Cardinals,5.23,0.2,2024-11-29 19:13:43
WR,Nick Westbrook-Ikhine (36784527),Nick Westbrook-Ikhine,36784527,WR/FLEX,4300,TEN@WAS 12/01/2024 01:00PM ET,TEN,7.86,Nick Westbrook-Ikhine,WR,Titans,9.42,2.7,2024-11-29 19:13:43
QB,Jimmy Garoppolo (36784206),Jimmy Garoppolo,36784206,QB,4300,LAR@NO 12/01/2024 04:05PM ET,LAR,0.0,Jimmy Garoppolo,QB,Rams,0.0,0.0,2024-11-29 19:13:43
TE,Dallas Goedert (36784847),Dallas Goedert,36784847,TE/FLEX,4300,PHI@BAL 12/01/2024 04:25PM ET,PHI,10.58,Dallas Goedert,TE,Eagles,9.26,9.9,2024-11-29 19:13:43
WR,Michael Wilson (36784537),Michael Wilson,36784537,WR/FLEX,4200,ARI@MIN 12/01/2024 01:00PM ET,ARI,7.74,Michael Wilson,WR,Cardinals,6.98,2.4,2024-11-29 19:13:43
TE,Hunter Henry (36784849),Hunter Henry,36784849,TE/FLEX,4200,IND@NE 12/01/2024 01:00PM ET,NE,9.46,Hunter Henry,TE,Patriots,11.72,9.1,2024-11-29 19:13:43
RB,Blake Corum (36784321),Blake Corum,36784321,RB/FLEX,4200,LAR@NO 12/01/2024 04:05PM ET,LAR,1.61,Blake Corum,RB,Rams,2.98,0.0,2024-11-29 19:13:43
RB,Jamaal Williams (36784323),Jamaal Williams,36784323,RB/FLEX,4200,LAR@NO 12/01/2024 04:05PM ET,NO,3.06,Jamaal Williams,RB,Saints,2.67,0.0,2024-11-29 19:13:43
WR,Cedrick Wilson Jr. (36784535),Cedrick Wilson Jr.,36784535,WR/FLEX,4200,LAR@NO 12/01/2024 04:05PM ET,NO,3.13,Cedrick Wilson Jr.,WR,Saints,5.05,0.1,2024-11-29 19:13:43
WR,Diontae Johnson (36784533),Diontae Johnson,36784533,WR/FLEX,4200,PHI@BAL 12/01/2024 04:25PM ET,BAL,8.08,Diontae Johnson,WR,Ravens,3.48,0.0,2024-11-29 19:13:43
QB,Jake Browning (36784208),Jake Browning,36784208,QB,4100,PIT@CIN 12/01/2024 01:00PM ET,CIN,-0.05,Jake Browning,QB,Bengals,0.0,0.0,2024-11-29 19:13:43
TE,Mike Gesicki (36784851),Mike Gesicki,36784851,TE/FLEX,4100,PIT@CIN 12/01/2024 01:00PM ET,CIN,7.84,Mike Gesicki,TE,Bengals,5.74,2.0,2024-11-29 19:13:43
RB,Dare Ogunbowale (36784325),Dare Ogunbowale,36784325,RB/FLEX,4100,HOU@JAX 12/01/2024 01:00PM ET,HOU,3.78,Dare Ogunbowale,RB,Texans,2.0,0.1,2024-11-29 19:13:43
WR,John Metchie III (36784541),John Metchie III,36784541,WR/FLEX,4100,HOU@JAX 12/01/2024 01:00PM ET,HOU,3.77,John Metchie III,WR,Texans,4.36,0.3,2024-11-29 19:13:43
QB,Sam Howell (36784209),Sam Howell,36784209,QB,4100,SEA@NYJ 12/01/2024 01:00PM ET,SEA,0.0,Sam Howell,QB,Seahawks,0.0,0.0,2024-11-29 19:13:43
QB,Spencer Rattler (36784207),Spencer Rattler,36784207,QB,4100,LAR@NO 12/01/2024 04:05PM ET,NO,9.65,Spencer Rattler,QB,Saints,0.0,0.0,2024-11-29 19:13:43
QB,Jake Haener (36784210),Jake Haener,36784210,QB,4100,LAR@NO 12/01/2024 04:05PM ET,NO,2.11,Jake Haener,QB,Saints,0.0,0.0,2024-11-29 19:13:43
